korisnik|prob|prob|prob|prob|prob@gmao.com|||22323|
admin|ta|ca|Tamara|Cvetkovic|taca@gmail.com|123456123|bh|1111|z
korisnik|asgasfas|sadafas|sasdsaS|SDdsadsa|ds@gmail.com|||2324234|
korisnik|tamara22|sas|dsagfasfa|saaw|sad@asd.s|123456789|bih|212|s
korisnik|qqqqq|qqqq|qqq|qqq|qqq@qq.q|||11122333|
korisnik|YYYYY|jjh|jhj|jhhjjh|jhh@hhj.jjjj|||887766|
korisnik|fdsf22|g|hdf|hdf|222@gmai22l.com|||66677777|
korisnik|hhhh|jggg|gjg|gjgjjg|gjgj@hggj.cc|||6677890000|
korisnik|lll|lll|lll|lll|ll@ll.ll|123123123|bh|0010101|z
korisnik|gfgd|jgjfg|ghfgh|khkbn|sjakdj@gmail.com|||68699999|
korisnik|t|t|taca|cvjetic|sad@asd.s|123456789|bh|77675|z
korisnik|tacika|taca|taca|cvjetic|c.taca@gmail.com|123456789|bh|764234|z
prodavac|vd|vd|vladan|cvetkovic|vld@asd.s|111222333|bh|77675|m
korisnik|taca|taca|Taca|Cvjetkovic|taca@gmail.com|123123123|bh|123456|z
prodavac|vladan|vladan|Vladan|Cvetkovic|vladan@gmail.com|||125214|
korisnik|user1|user1|User|UserUser|user1@gmail.com|123123123|srb|21313|m
prodavac|sss|sss|sss|sss|sss@ss.ss|212123123|sss|213123|s
prodavac|22|sda|das|dsa|das@da.dsa|||123|
korisnik|2231231|312312|wq|ewq|q@weq.we|||23131|
